"*Beginning for the 2015-16 season, reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView.  This data file includes only data prior to the 2015-16 influenza season, and will be presented with the public health and clinical labs combined."
REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,PERCENT POSITIVE,A (2009 H1N1),A (H1),A (H3),A (Subtyping not Performed),A (Unable to Subtype),B,H3N2v
States,Colorado,2010,40,126,0.79,0,0,1,0,0,0,0
States,New York,2010,40,300,1,0,0,0,3,0,0,0
States,Colorado,2010,41,157,1.27,1,0,1,0,0,0,0
States,New York,2010,41,262,0.76,0,0,0,1,0,1,0
States,Colorado,2010,42,153,0.65,0,0,0,1,0,0,0
States,New York,2010,42,327,0.61,0,0,2,0,0,0,0
States,Colorado,2010,43,162,1.85,0,0,1,2,0,0,0
States,New York,2010,43,294,1.36,0,0,2,2,0,0,0
States,Colorado,2010,44,163,1.23,0,0,0,2,0,0,0
States,New York,2010,44,360,2.5,0,0,7,1,0,1,0
States,Colorado,2010,45,212,2.36,0,0,0,5,0,0,0
States,New York,2010,45,407,3.44,0,0,9,5,0,0,0
States,Colorado,2010,46,154,1.95,0,0,0,3,0,0,0
States,New York,2010,46,421,6.18,0,0,14,12,0,0,0
States,Colorado,2010,47,205,5.37,0,0,8,3,0,0,0
States,New York,2010,47,534,5.24,0,0,10,17,0,1,0
States,Colorado,2010,48,196,4.59,0,0,5,4,0,0,0
States,New York,2010,48,654,5.5,0,0,19,17,0,0,0
States,Colorado,2010,49,245,5.31,1,0,6,6,0,0,0
States,New York,2010,49,538,11.9,4,0,43,16,0,1,0
States,Colorado,2010,50,259,8.88,0,0,12,9,0,2,0
States,New York,2010,50,697,10.62,4,0,49,19,0,2,0
States,Colorado,2010,51,261,14.18,1,0,17,16,0,3,0
States,New York,2010,51,776,17.78,0,0,87,44,0,7,0
States,Colorado,2010,52,295,20,1,0,37,17,0,4,0
States,New York,2010,52,883,24.46,1,0,135,78,0,2,0
States,Colorado,2011,1,338,15.68,11,0,20,18,0,4,0
States,New York,2011,1,1164,21.65,8,0,132,103,0,9,0
States,Colorado,2011,2,333,13.81,3,0,6,32,0,5,0
States,New York,2011,2,989,23.36,9,0,120,92,0,10,0
States,Colorado,2011,3,321,14.64,4,0,6,32,0,5,0
States,New York,2011,3,996,22.89,8,0,113,101,0,6,0
States,Colorado,2011,4,438,17.58,8,0,10,45,0,14,0
States,New York,2011,4,1040,25.58,22,0,86,126,0,32,0
States,Colorado,2011,5,481,22.45,13,0,13,55,0,27,0
States,New York,2011,5,996,26,18,0,70,119,0,52,0
States,Colorado,2011,6,499,20.44,8,0,7,41,0,46,0
States,New York,2011,6,1013,27.05,25,0,71,128,0,50,0
States,Colorado,2011,7,655,23.97,12,0,11,63,0,71,0
States,New York,2011,7,1136,30.37,28,0,88,157,0,72,0
States,Colorado,2011,8,645,19.84,10,0,8,41,0,69,0
States,New York,2011,8,1139,27.3,21,0,68,151,0,71,0
States,Colorado,2011,9,583,14.58,2,0,2,27,0,54,0
States,New York,2011,9,983,25.43,12,0,69,113,0,56,0
States,Colorado,2011,10,488,11.68,0,0,2,24,0,31,0
States,New York,2011,10,893,20.6,11,0,43,75,0,55,0
States,Colorado,2011,11,458,11.14,0,0,1,18,0,32,0
States,New York,2011,11,858,16.67,3,0,30,54,0,56,0
States,Colorado,2011,12,357,9.24,1,0,2,16,0,14,0
States,New York,2011,12,732,18.58,8,0,28,47,0,53,0
States,Colorado,2011,13,330,6.36,0,0,0,12,0,9,0
States,New York,2011,13,615,16.26,5,0,17,46,0,32,0
States,Colorado,2011,14,273,4.03,1,0,2,3,0,5,0
States,New York,2011,14,632,12.5,4,0,11,15,0,49,0
States,Colorado,2011,15,237,3.38,0,0,0,4,0,4,0
States,New York,2011,15,561,9.98,7,0,12,9,0,28,0
States,Colorado,2011,16,243,1.23,0,0,1,1,0,1,0
States,New York,2011,16,432,6.02,3,0,4,3,0,16,0
States,Colorado,2011,17,144,0,0,0,0,0,0,0,0
States,New York,2011,17,294,5.44,2,0,5,5,0,4,0
States,Colorado,2011,18,209,0,0,0,0,0,0,0,0
States,New York,2011,18,323,1.24,0,0,0,0,0,4,0
States,Colorado,2011,19,161,1.86,0,0,0,3,0,0,0
States,New York,2011,19,239,0.84,0,0,0,0,0,2,0
States,Colorado,2011,20,193,2.07,3,0,0,0,0,1,0
States,New York,2011,20,307,0.33,0,0,0,0,0,1,0
States,Colorado,2011,21,141,0,0,0,0,0,0,0,0
States,New York,2011,21,221,0.9,1,0,0,0,0,1,0
States,Colorado,2011,22,153,1.31,2,0,0,0,0,0,0
States,New York,2011,22,207,0,0,0,0,0,0,0,0
States,Colorado,2011,23,139,0,0,0,0,0,0,0,0
States,New York,2011,23,188,0,0,0,0,0,0,0,0
States,Colorado,2011,24,142,0,0,0,0,0,0,0,0
States,New York,2011,24,153,0,0,0,0,0,0,0,0
States,Colorado,2011,25,101,0,0,0,0,0,0,0,0
