Reporting Area,MMWR Year,MMWR Week,"Chlamydia trachomatis infection, Current week","Chlamydia trachomatis infection, Current week, flag","Chlamydia trachomatis infection, Previous 52 weeks Med","Chlamydia trachomatis infection, Previous 52 weeks Med, flag","Chlamydia trachomatis infection, Previous 52 weeks Max","Chlamydia trachomatis infection, Previous 52 weeks Max, flag","Chlamydia trachomatis infection, Cum 2018","Chlamydia trachomatis infection, Cum 2018, flag","Chlamydia trachomatis infection, Cum 2017","Chlamydia trachomatis infection, Cum 2017, flag","Coccidioidomycosis, Current week","Coccidioidomycosis, Current week, flag","Coccidioidomycosis, Previous 52 weeks Med","Coccidioidomycosis, Previous 52 weeks Med, flag","Coccidioidomycosis, Previous 52 weeks Max","Coccidioidomycosis, Previous 52 weeks Max, flag","Coccidioidomycosis, Cum 2018","Coccidioidomycosis, Cum 2018, flag","Coccidioidomycosis, Cum 2017","Coccidioidomycosis, Cum 2017, flag",Location 1,Location 2
UNITED STATES,2018,1,3741,,31966,,35290,,3741,,24001,,262,,143,,378,,262,,128,,,
NEW ENGLAND,2018,1,9,,1009,,1302,,9,,873,,,-,0,,1,,,-,,-,,
MID. ATLANTIC,2018,1,932,,4158,,5074,,932,,3672,,,-,0,,0,,,-,,-,,
NEW YORK CITY,2018,1,,-,1418,,1589,,,-,1219,,,N,0,,0,,,N,,N,,
E.N. CENTRAL,2018,1,1017,,4366,,5200,,1017,,4159,,,-,1,,4,,,-,4,,,
W.N. CENTRAL,2018,1,171,,1892,,2185,,171,,1631,,1,,2,,5,,1,,2,,,
S. ATLANTIC,2018,1,411,,6753,,8353,,411,,4099,,,-,0,,2,,,-,,-,,
E.S. CENTRAL,2018,1,150,,1868,,2286,,150,,1210,,,-,0,,1,,,-,,-,,
W.S. CENTRAL,2018,1,11,,4046,,5416,,11,,2677,,,-,0,,3,,,-,,-,,
MOUNTAIN,2018,1,481,,2192,,3009,,481,,1041,,261,,116,,344,,261,,110,,,
PACIFIC,2018,1,559,,5324,,5804,,559,,4639,,,-,23,,48,,,-,12,,,
AMER. SAMOA,2018,1,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,
SOUTH DAKOTA,2018,1,1,,81,,120,,1,,79,,,N,0,,0,,,N,,N,"SOUTH DAKOTA
(44.35371, -100.373709)",
NEW HAMPSHIRE,2018,1,,-,80,,201,,,-,156,,,-,0,,1,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
SOUTH CAROLINA,2018,1,,-,598,,2152,,,-,603,,,N,0,,0,,,N,,N,"SOUTH CAROLINA
(34.009286, -81.037094)",
MICHIGAN,2018,1,104,,944,,1104,,104,,834,,,-,0,,2,,,-,1,,"MICHIGAN
(44.66399, -84.711206)",
NEW MEXICO,2018,1,6,,250,,403,,6,,41,,,-,0,,2,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
OREGON,2018,1,324,,365,,545,,324,,257,,,-,0,,2,,,-,,-,"OREGON
(44.567912, -120.156945)",
DELAWARE,2018,1,,-,102,,149,,,-,80,,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
NEW YORK,2018,1,246,,864,,1222,,246,,251,,,N,0,,0,,,N,,N,"NEW YORK
(42.826892, -75.544286)",
VIRGINIA,2018,1,,-,764,,1605,,,-,536,,,N,0,,0,,,N,,N,"VIRGINIA
(37.542699, -78.45822)",
VIRGIN ISL.,2018,1,,-,10,,21,,,-,8,,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
CONNECTICUT,2018,1,,-,197,,357,,,-,56,,,N,0,,0,,,N,,N,"CONNECTICUT
(41.544654, -72.651713)",
VERMONT,2018,1,,-,22,,50,,,-,27,,,N,0,,0,,,N,,N,"VERMONT
(43.622479, -72.51927)",
KANSAS,2018,1,62,,265,,314,,62,,228,,,N,0,,0,,,N,,N,"KANSAS
(38.345528, -98.201847)",
WEST VIRGINIA,2018,1,,-,76,,130,,,-,76,,,N,0,,0,,,N,,N,"WEST VIRGINIA
(38.668501, -80.709421)",
MASSACHUSETTS,2018,1,,-,570,,683,,,-,481,,,N,0,,0,,,N,,N,"MASSACHUSETTS
(42.268546, -72.085064)",
FLORIDA,2018,1,292,,1976,,2424,,292,,631,,,N,0,,0,,,N,,N,"FLORIDA
(28.915325, -81.922409)",
ILLINOIS,2018,1,,-,1048,,1591,,,-,1224,,,N,0,,0,,,N,,N,"ILLINOIS
(40.477092, -88.993221)",
TEXAS,2018,1,,-,2871,,4061,,,-,2222,,,N,0,,0,,,N,,N,"TEXAS
(31.827233, -99.423022)",
RHODE ISLAND,2018,1,9,,81,,262,,9,,,-,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
PENNSYLVANIA,2018,1,534,,1116,,2006,,534,,1509,,,N,0,,0,,,N,,N,"PENNSYLVANIA
(40.789676, -77.858055)",
GUAM,2018,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"GUAM
(13.3532, 144.653198)",
ALABAMA,2018,1,,-,502,,761,,,-,419,,,N,0,,0,,,N,,N,"ALABAMA
(32.839182, -86.631125)",
