Reporting Area,MMWR Year,MMWR Week,"Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Current week","Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Current week, flag","Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Previous 52 weeks Max†","Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Previous 52 weeks Max†, flag","Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Cum 2019†","Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Cum 2019†, flag","Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Cum 2018†","Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Cum 2018†, flag","Chlamydia trachomatis infection, Current week","Chlamydia trachomatis infection, Current week, flag","Chlamydia trachomatis infection, Previous 52 weeks Max†","Chlamydia trachomatis infection, Previous 52 weeks Max†, flag","Chlamydia trachomatis infection, Cum 2019†","Chlamydia trachomatis infection, Cum 2019†, flag","Chlamydia trachomatis infection, Cum 2018†","Chlamydia trachomatis infection, Cum 2018†, flag","Chancroid, Current week","Chancroid, Current week, flag","Chancroid, Previous 52 weeks Max†","Chancroid, Previous 52 weeks Max†, flag","Chancroid, Cum 2019†","Chancroid, Cum 2019†, flag","Chancroid, Cum 2018†","Chancroid, Cum 2018†, flag",Location 1,Location 2,Reporting Area Sort
US RESIDENTS,2019,15,,NP,,NC,,NP,,NN,9459,,36187,,374989,,495673,,,-,1,,1,,3,,,US RESIDENTS,20191501
NEW ENGLAND,2019,15,,NP,,NC,,NP,,NN,126,,1052,,10960,,12580,,,-,0,,,-,,-,,NEW ENGLAND,20191502
CONNECTICUT,2019,15,,NP,,NC,,NP,,NN,,U,,NC,,U,,U,,U,,NC,,U,,U,"CONNECTICUT
(41.575155, -72.738288)",,20191503
MAINE,2019,15,,NP,,NC,,NP,,NN,,-,124,,1127,,1333,,,-,0,,,-,,-,"MAINE
(45.117911, -69.06137)",,20191504
MASSACHUSETTS,2019,15,,NP,,NC,,NP,,NN,,-,701,,7941,,8576,,,-,0,,,-,,-,"MASSACHUSETTS
(42.151077, -71.481104)",,20191505
NEW HAMPSHIRE,2019,15,,NP,,NC,,NP,,NN,61,,107,,1057,,1229,,,-,0,,,-,,-,"NEW HAMPSHIRE
(43.680429, -71.57139)",,20191506
RHODE ISLAND,2019,15,,NP,,NC,,NP,,NN,65,,529,,623,,906,,,-,0,,,-,,-,"RHODE ISLAND
(41.572574, -71.534637)",,20191507
VERMONT,2019,15,,NP,,NC,,NP,,NN,,-,50,,212,,536,,,-,0,,,-,,-,"VERMONT
(44.075252, -72.662695)",,20191508
MIDDLE ATLANTIC,2019,15,,NP,,NC,,NP,,NN,2716,,4830,,61195,,59333,,,-,0,,,-,,-,,MIDDLE ATLANTIC,20191509
NEW JERSEY,2019,15,,NP,,NC,,NP,,NN,480,,950,,10494,,10246,,,-,0,,,-,,-,"NEW JERSEY
(40.110253, -74.655514)",,20191510
