"*Beginning for the 2015-16 season, reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView. Data from clinical laboratories include the weekly total number of specimens tested, the number of positive influenza test, and the percent positive by influenza type."
REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,PERCENT POSITIVE,PERCENT A,PERCENT B
States,Colorado,2015,40,255,0,1,0.39,0,0.39
States,New York,2015,40,1095,4,0,0.37,0.37,0
States,Colorado,2015,41,281,2,0,0.71,0.71,0
States,New York,2015,41,1239,4,2,0.48,0.32,0.16
States,Colorado,2015,42,281,1,1,0.71,0.36,0.36
States,New York,2015,42,1262,1,2,0.24,0.08,0.16
States,Colorado,2015,43,332,0,1,0.3,0,0.3
States,New York,2015,43,1284,6,3,0.7,0.47,0.23
States,Colorado,2015,44,384,0,0,0,0,0
States,New York,2015,44,1236,4,2,0.49,0.32,0.16
States,Colorado,2015,45,391,1,0,0.26,0.26,0
States,New York,2015,45,1322,2,2,0.3,0.15,0.15
States,Colorado,2015,46,385,0,0,0,0,0
States,New York,2015,46,1330,1,2,0.23,0.08,0.15
States,Colorado,2015,47,418,2,0,0.48,0.48,0
States,New York,2015,47,1213,4,4,0.66,0.33,0.33
States,Colorado,2015,48,451,2,0,0.44,0.44,0
States,New York,2015,48,1457,6,2,0.55,0.41,0.14
States,Colorado,2015,49,455,2,3,1.1,0.44,0.66
States,New York,2015,49,1422,8,4,0.84,0.56,0.28
States,Colorado,2015,50,460,1,0,0.22,0.22,0
States,New York,2015,50,1613,5,5,0.62,0.31,0.31
States,Colorado,2015,51,421,9,1,2.38,2.14,0.24
States,New York,2015,51,1499,5,4,0.6,0.33,0.27
States,Colorado,2015,52,511,9,0,1.76,1.76,0
States,New York,2015,52,1569,14,13,1.72,0.89,0.83
States,Colorado,2016,1,551,15,0,2.72,2.72,0
States,New York,2016,1,2070,16,4,0.97,0.77,0.19
States,Colorado,2016,2,510,7,1,1.57,1.37,0.2
States,New York,2016,2,1857,37,9,2.48,1.99,0.48
States,Colorado,2016,3,592,19,2,3.55,3.21,0.34
States,New York,2016,3,1664,53,5,3.49,3.19,0.3
States,Colorado,2016,4,606,26,6,5.28,4.29,0.99
States,New York,2016,4,1749,85,9,5.37,4.86,0.51
States,Colorado,2016,5,639,32,3,5.48,5.01,0.47
States,New York,2016,5,1886,134,17,8.01,7.1,0.9
States,Colorado,2016,6,746,54,3,7.64,7.24,0.4
States,New York,2016,6,2166,213,34,11.4,9.83,1.57
States,Colorado,2016,7,778,66,11,9.9,8.48,1.41
States,New York,2016,7,2292,321,39,15.71,14.01,1.7
States,Colorado,2016,8,801,92,7,12.36,11.49,0.87
States,New York,2016,8,2663,508,54,21.1,19.08,2.03
States,Colorado,2016,9,1017,157,20,17.4,15.44,1.97
States,New York,2016,9,3034,744,94,27.62,24.52,3.1
States,Colorado,2016,10,1014,159,27,18.34,15.68,2.66
States,New York,2016,10,3440,845,154,29.04,24.56,4.48
States,Colorado,2016,11,1069,160,31,17.87,14.97,2.9
States,New York,2016,11,3311,748,177,27.94,22.59,5.35
States,Colorado,2016,12,984,121,23,14.63,12.3,2.34
States,New York,2016,12,3091,602,169,24.94,19.48,5.47
States,Colorado,2016,13,792,57,25,10.35,7.2,3.16
States,New York,2016,13,2804,398,165,20.08,14.19,5.88
States,Colorado,2016,14,716,46,30,10.61,6.42,4.19
States,New York,2016,14,2461,247,175,17.15,10.04,7.11
States,Colorado,2016,15,635,39,22,9.61,6.14,3.46
States,New York,2016,15,2178,166,183,16.02,7.62,8.4
States,Colorado,2016,16,468,19,18,7.91,4.06,3.85
States,New York,2016,16,1996,139,182,16.08,6.96,9.12
States,Colorado,2016,17,424,13,22,8.25,3.07,5.19
States,New York,2016,17,1874,68,149,11.58,3.63,7.95
States,Colorado,2016,18,359,19,10,8.08,5.29,2.79
States,New York,2016,18,1611,42,121,10.12,2.61,7.51
States,Colorado,2016,19,314,4,4,2.55,1.27,1.27
States,New York,2016,19,1469,24,81,7.15,1.63,5.51
States,Colorado,2016,20,308,6,9,4.87,1.95,2.92
States,New York,2016,20,1353,17,59,5.62,1.26,4.36
States,Colorado,2016,21,261,2,5,2.68,0.77,1.92
States,New York,2016,21,1151,6,58,5.56,0.52,5.04
States,Colorado,2016,22,231,0,4,1.73,0,1.73
States,New York,2016,22,1104,6,26,2.9,0.54,2.36
States,Colorado,2016,23,214,1,3,1.87,0.47,1.4
States,New York,2016,23,1076,1,9,0.93,0.09,0.84
States,Colorado,2016,24,149,0,0,0,0,0
States,New York,2016,24,995,6,9,1.51,0.6,0.9
States,Colorado,2016,25,151,1,1,1.32,0.66,0.66
States,New York,2016,25,905,2,6,0.88,0.22,0.66
States,Colorado,2016,26,162,1,0,0.62,0.62,0
States,New York,2016,26,837,0,2,0.24,0,0.24
States,Colorado,2016,27,138,0,0,0,0,0
States,New York,2016,27,696,1,1,0.29,0.14,0.14
States,Colorado,2016,28,161,1,1,1.24,0.62,0.62
States,New York,2016,28,710,2,2,0.56,0.28,0.28
States,Colorado,2016,29,128,3,1,3.13,2.34,0.78
States,New York,2016,29,671,0,3,0.45,0,0.45
States,Colorado,2016,30,140,0,0,0,0,0
States,New York,2016,30,675,1,0,0.15,0.15,0
States,Colorado,2016,31,138,0,0,0,0,0
States,New York,2016,31,627,0,0,0,0,0
States,Colorado,2016,32,148,0,0,0,0,0
States,New York,2016,32,682,0,0,0,0,0
States,Colorado,2016,33,163,0,0,0,0,0
States,New York,2016,33,648,5,0,0.77,0.77,0
States,Colorado,2016,34,180,0,0,0,0,0
States,New York,2016,34,620,0,1,0.16,0,0.16
States,Colorado,2016,35,219,0,0,0,0,0
States,New York,2016,35,634,2,0,0.32,0.32,0
States,Colorado,2016,36,256,0,0,0,0,0
States,New York,2016,36,633,0,1,0.16,0,0.16
States,Colorado,2016,37,250,1,0,0.4,0.4,0
States,New York,2016,37,823,5,2,0.85,0.61,0.24
States,Colorado,2016,38,274,1,0,0.36,0.36,0
States,New York,2016,38,890,1,1,0.22,0.11,0.11
States,Colorado,2016,39,246,2,0,0.81,0.81,0
States,New York,2016,39,967,6,2,0.83,0.62,0.21
States,Colorado,2016,40,260,0,0,0,0,0
States,New York,2016,40,1166,8,3,0.94,0.69,0.26
States,Colorado,2016,41,301,2,1,1,0.66,0.33
States,New York,2016,41,1135,1,3,0.35,0.09,0.26
States,Colorado,2016,42,312,1,0,0.32,0.32,0
