REGION,YEAR,WEEK,"Hepatitis B, perinatal infection, Current week","Hepatitis B, perinatal infection, Current week, flag","Hepatitis B, perinatal infection, Previous 52 weeks Max† ","Hepatitis B, perinatal infection, Previous 52 weeks Max† , flag","Hepatitis B, perinatal infection, Cum 2019†","Hepatitis B, perinatal infection, Cum 2019†, flag","Hepatitis B, perinatal infection, Cum 2018†","Hepatitis B, perinatal infection, Cum 2018†, flag","Hepatitis C (viral, acute)§, Confirmed, Current week","Hepatitis C (viral, acute)§, Confirmed, Current week, flag","Hepatitis C (viral, acute), Confirmed, Previous 52 weeks Max","Hepatitis C (viral, acute)§, Previous 52 weeks Max† , flag","Hepatitis C (viral, acute)§, Confirmed, Cum 2019†","Hepatitis C (viral, acute)§, Confirmed, Cum 2019†, flag","Hepatitis C (viral, acute)§, Confirmed, Cum 2018†","Hepatitis C (viral, acute)§, Confirmed, Cum 2018†, flag","Hepatitis C (viral, acute)§,  Probable, Current week","Hepatitis C (viral, acute)§, Probable, Current week, flag","Hepatitis C (viral, acute)§, Probable, Previous 52 weeks Max† ","Hepatitis C (viral, acute)§, Probable, Previous 52 weeks Max† , flag","Hepatitis C (viral, acute)§, Probable, Cum 2019†","Hepatitis C (viral, acute)§, Probable, Cum 2019†, flag","Hepatitis C (viral, acute)§, Probable, Cum 2018†","Hepatitis C (viral, acute)§, Probable, Cum 2018†, flag",Location 1,Location 2,,,,
US RESIDENTS,2019,1,,-,2,,,-,,-,2,,94,,2,,62,,,-,52,,,NP,8,,,US RESIDENTS,,,,
NEW ENGLAND,2019,1,,-,0,,,-,,-,,-,8,,,-,5,,,-,4,,,NP,,-,,NEW ENGLAND,,,,
MIDDDLE ATLANTIC,2019,1,,-,1,,,-,,-,,-,17,,,-,7,,,-,2,,,NP,,-,,MIDDDLE ATLANTIC,,,,
NEW YORK CITY,2019,1,,-,1,,,-,,-,,-,2,,,-,,-,,-,0,,,NP,,-,,NEW YORK CITY,,,,
EAST NORTH CENTRAL,2019,1,,-,1,,,-,,-,,-,25,,,-,12,,,-,15,,,NP,,-,,EAST NORTH CENTRAL,,,,
WEST NORTH CENTRAL,2019,1,,-,0,,,-,,-,,-,8,,,-,7,,,-,1,,,NP,,-,,WEST NORTH CENTRAL,,,,
SOUTH ATLANTIC,2019,1,,-,2,,,-,,-,,-,47,,,-,13,,,-,37,,,NP,,-,,SOUTH ATLANTIC,,,,
EAST SOUTH CENTRAL,2019,1,,-,1,,,-,,-,1,,24,,1,,7,,,-,11,,,NP,4,,,EAST SOUTH CENTRAL,,,,
WEST SOUTH CENTRAL,2019,1,,-,0,,,-,,-,,-,6,,,-,1,,,-,3,,,NP,,-,,WEST SOUTH CENTRAL,,,,
MOUNTAIN,2019,1,,-,1,,,-,,-,1,,8,,1,,7,,,-,5,,,NP,3,,,MOUNTAIN,,,,
PACIFIC,2019,1,,-,1,,,-,,-,,-,13,,,-,3,,,-,3,,,NP,1,,,PACIFIC,,,,
US TERRITORIES,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,NP,,-,,US TERRITORIES,,,,
AMERICAN SAMOA,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,NP,,-,,AMERICAN SAMOA,,,,
NON-US RESIDENTS,2019,1,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,-,,NC,,NP,,NP,,NON-US RESIDENTS,,,,
TOTAL,2019,1,,-,2,,,-,,-,2,,94,,2,,62,,,-,52,,,NP,8,,,TOTAL,,,,
MICHIGAN,2019,1,,-,1,,,-,,-,,-,6,,,-,2,,,-,3,,,NP,,-,"MICHIGAN
(44.66399, -84.711206)",,,,,
NEW MEXICO,2019,1,,-,0,,,-,,-,,-,3,,,-,1,,,-,2,,,NP,,-,"NEW MEXICO
(34.520396, -106.244402)",,,,,
